"region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
27001,15839,94,0,0,1,25591,508,53.1
27003,338764,84,5,4,4,31775,884,37.9
27005,33138,87,1,0,2,26399,527,42.4
27007,45434,73,1,1,2,22524,567,33.3
27009,39221,93,2,1,2,25341,604,35.4
27011,5134,97,0,0,1,27426,381,49.2
27013,65125,90,3,2,3,26440,643,30.1
27015,25391,95,0,0,4,28018,491,43.5
27017,35443,89,1,1,2,24584,577,41
27019,95715,90,1,3,4,40322,877,36.9
27021,28519,84,0,0,2,25720,466,48.3
27023,12154,90,1,0,6,26372,449,43
27025,53834,94,1,1,2,29553,678,40.2
27027,60879,90,2,1,4,25896,604,32.4
27029,8752,86,0,0,2,23391,437,42.5
27031,5194,86,1,1,2,33056,531,51.3
27033,11632,88,1,3,7,24978,425,42.8
27035,63048,95,1,1,1,27936,620,43.5
27037,408456,81,5,5,6,36171,887,37.5
27039,20290,93,1,0,5,30091,537,37.9
27041,36620,97,1,0,1,29953,617,44.1
27043,14230,92,0,0,6,27135,391,46.7
27045,20843,97,0,0,1,26348,456,43
27047,30897,87,1,1,9,26494,466,44.6
27049,46377,93,1,1,3,30236,641,43
27051,5961,96,0,0,2,27952,383,46.3
27053,1197776,70,12,7,7,38724,874,36.1
27055,18812,97,0,0,1,27626,501,45
27057,20574,94,1,1,2,25725,498,48
27059,38296,95,1,1,2,27152,731,39.5
27061,45354,92,0,0,1,25219,550,45.9
27063,10211,93,0,2,3,27494,429,43.4
27065,16003,95,0,0,2,23661,633,43.9
27067,42444,84,3,1,12,27560,551,39.9
27069,4480,96,1,0,2,29279,384,48.1
27071,13054,94,1,1,0,25398,447,47.4
27073,7023,96,1,1,2,29541,397,49.8
27075,10750,96,0,0,1,29346,621,50.2
27077,3949,94,1,1,1,22543,419,50.3
27079,27707,92,1,0,6,28483,574,41.3
27081,5808,97,0,0,2,26910,372,46.5
27083,25699,87,3,3,6,28010,503,35.1
27085,36046,92,0,1,5,27612,610,39.9
27087,5496,48,1,0,3,19743,361,36.3
27089,9453,94,0,0,4,27863,422,43.8
27091,20350,94,0,1,4,28244,480,45.4
27093,23129,95,0,0,3,27313,530,42
27095,25809,90,1,0,2,23603,607,40.3
27097,32962,96,1,1,1,24984,523,41.2
27099,39227,82,3,2,11,26265,531,39
27101,8529,94,0,0,3,28976,400,47.6
27103,33086,91,2,1,4,28118,679,35.7
27105,21687,63,4,6,25,23515,508,36.6
27107,6692,90,1,0,5,25314,388,45.4
27109,148736,82,5,6,5,35267,729,36.7
27111,57511,94,1,1,3,28066,525,46.7
27113,14110,91,2,1,3,25500,485,39.1
27115,29218,90,2,1,3,22436,587,43.7
27117,9354,91,1,0,5,26842,407,42.3
27119,31547,89,1,1,6,26766,513,38.9
27121,10948,97,1,0,1,30071,497,46.5
27123,527411,65,11,13,7,30333,789,34.6
27125,4061,93,1,0,3,25183,434,42.3
27127,15723,88,1,3,3,25716,419,43.2
27129,15171,90,1,1,8,28698,443,44.5
27131,64886,84,4,2,8,26660,639,36.4
27133,9563,95,1,1,2,26065,442,41.1
27135,15615,93,1,3,1,26698,500,41.2
27137,200506,92,2,1,1,27190,613,40.9
27139,137322,83,3,6,5,36180,923,35.5
27141,90401,92,2,1,2,29923,819,35.3
27143,15021,90,0,1,8,27493,485,41.4
27145,152595,89,4,2,3,27135,652,34
27147,36523,88,2,1,7,28087,636,39.8
27149,9771,90,1,2,4,25739,520,32.7
27151,9525,93,2,0,4,27202,453,44.5
27153,24466,92,0,0,5,23808,442,43
27155,3429,92,0,0,2,29120,438,48.4
27157,21381,95,0,0,3,30468,558,43.8
27159,13759,95,1,1,2,22002,430,43.3
27161,19076,90,3,1,6,26457,496,39
27163,246670,84,4,5,4,38461,1011,38.9
27165,11054,75,1,1,22,25973,448,39.6
27167,6526,95,0,0,2,26862,391,43.7
27169,51213,92,1,3,3,24660,527,33.9
27171,128691,93,1,1,3,30238,798,35.6
27173,10092,91,0,1,4,26885,426,43
28001,31979,38,55,0,6,17669,420,40.7
28003,37319,83,11,0,3,19467,391,39.9
28005,12840,57,42,0,0,17635,399,45.3
28007,19175,55,42,0,2,20604,389,40.8
28009,8470,60,36,0,2,19935,425,39.8
28011,33803,33,64,1,2,15751,394,34.7
28013,14789,65,27,0,6,17434,334,40.5
28015,10338,65,34,0,0,20627,291,44.6
28017,17391,52,43,0,4,17538,335,37.7
28019,8354,68,31,0,1,17464,356,42.8
28021,9330,14,84,1,1,12229,377,32.7
28023,16362,64,35,0,1,20071,357,41.3
28025,20279,40,58,1,1,18405,414,38.8
28027,25254,23,76,1,0,15393,407,33.5
28029,28921,45,51,0,3,17762,429,38.1
28031,19471,61,35,0,2,16245,434,37.6
28033,168586,68,24,1,5,26085,771,36
28035,76267,58,37,1,3,19897,560,31.9
28037,7857,63,36,0,1,22098,356,43.2
28039,23104,88,8,1,2,21413,497,36.4
28041,14129,71,26,0,1,15728,374,36.9
28043,21591,55,44,0,0,19138,400,40.4
28045,45627,85,9,1,4,22286,601,41.8
28047,196268,65,23,3,5,22120,669,35.4
28049,245874,27,70,1,2,20598,610,33.6
28051,18772,16,83,0,0,11972,301,33.5
28053,8984,22,75,0,3,13503,312,35.3
28055,1291,34,65,0,1,12423,220,44.3
28057,23451,91,7,0,1,19483,464,39.3
28059,140676,69,21,2,5,24001,642,37.8
28061,16588,46,53,0,1,18260,369,41.6
28063,7586,14,86,0,0,12601,187,34.8
28065,11941,38,61,0,0,15682,387,43.1
28067,68276,65,29,1,4,20465,434,36.6
28069,10211,35,59,0,2,14516,262,38.3
28071,51169,70,24,2,2,23227,663,28.5
28073,58885,75,20,1,2,26403,667,34
28075,79832,53,42,1,2,21525,503,37.5
28077,12586,66,32,0,1,19844,392,40.7
28079,23153,48,41,0,4,17696,419,34.8
28081,85036,67,28,1,3,22282,510,36.5
28083,31516,24,72,1,2,14563,338,32.9
28085,34765,67,31,1,1,18844,443,37.7
